 phase int32_tb7a2c1fc  , wave index 2938 diff: 38, cycles: 4397
 phase int32_tb9fb8120  , wave index 2975 diff: 37, cycles: 4397
 phase int32_tbc544044  , wave index 3013 diff: 38, cycles: 4397
 phase int32_tbeacff68  , wave index 3050 diff: 37, cycles: 4397
 phase int32_tc105be8c  , wave index 3088 diff: 38, cycles: 4397
 phase int32_tc35e7db0  , wave index 3125 diff: 37, cycles: 4397
 phase int32_tc5b73cd4  , wave index 3163 diff: 38, cycles: 4397
 phase int32_tc80ffbf8  , wave index 3200 diff: 37, cycles: 4397
 phase int32_tca68bb1c  , wave index 3238 diff: 38, cycles: 4397
 phase int32_tccc17a40  , wave index 3276 diff: 38, cycles: 4397
 phase int32_tcf1a3964  , wave index 3313 diff: 37, cycles: 4397
 phase int32_td172f888  , wave index 3351 diff: 38, cycles: 4397
 phase int32_td3cbb7ac  , wave index 3388 diff: 37, cycles: 4397
 phase int32_td62476d0  , wave index 3426 diff: 38, cycles: 4397
 phase int32_td87d35f4  , wave index 3463 diff: 37, cycles: 4397
 phase int32_tdad5f518  , wave index 3501 diff: 38, cycles: 4397
 phase int32_tdd2eb43c  , wave index 3538 diff: 37, cycles: 4397
 phase int32_tdf877360  , wave index 3576 diff: 38, cycles: 4397
 phase int32_te1e03284  , wave index 3614 diff: 38, cycles: 4397
 phase int32_te438f1a8  , wave index 3651 diff: 37, cycles: 4397
 phase int32_te691b0cc  , wave index 3689 diff: 38, cycles: 4397
 phase int32_te8ea6ff0  , wave index 3726 diff: 37, cycles: 4397
 phase int32_teb432f14  , wave index 3764 diff: 38, cycles: 4397
 phase int32_ted9bee38  , wave index 3801 diff: 37, cycles: 4397
 phase int32_teff4ad5c  , wave index 3839 diff: 38, cycles: 4397
 phase int32_tf24d6c80  , wave index 3876 diff: 37, cycles: 4397
 phase int32_tf4a62ba4  , wave index 3914 diff: 38, cycles: 4397
 phase int32_tf6feeac8  , wave index 3951 diff: 37, cycles: 4397
 phase int32_tf957a9ec  , wave index 3989 diff: 38, cycles: 4397
 phase int32_tfbb06910  , wave index 4027 diff: 38, cycles: 4397
 phase int32_tfe092834  , wave index 4064 diff: 37, cycles: 4397
 phase int32_t61e758    , wave index 6 diff: -4058, cycles: 4398
 phase int32_t2baa67c   , wave index 43 diff: 37, cycles: 4398
 phase int32_t51365a0   , wave index 81 diff: 38, cycles: 4398
 phase int32_t76c24c4   , wave index 118 diff: 37, cycles: 4398
 phase int32_t9c4e3e8   , wave index 156 diff: 38, cycles: 4398
 phase int32_tc1da30c   , wave index 193 diff: 37, cycles: 4398
 phase int32_te766230   , wave index 231 diff: 38, cycles: 4398
 phase int32_t10cf2154  , wave index 268 diff: 37, cycles: 4398
 phase int32_t1327e078  , wave index 306 diff: 38, cycles: 4398
 phase int32_t15809f9c  , wave index 344 diff: 38, cycles: 4398
 phase int32_t17d95ec0  , wave index 381 diff: 37, cycles: 4398
 phase int32_t1a321de4  , wave index 419 diff: 38, cycles: 4398
 phase int32_t1c8add08  , wave index 456 diff: 37, cycles: 4398
 phase int32_t1ee39c2c  , wave index 494 diff: 38, cycles: 4398
 phase int32_t213c5b50  , wave index 531 diff: 37, cycles: 4398
 phase int32_t23951a74  , wave index 569 diff: 38, cycles: 4398
 phase int32_t25edd998  , wave index 606 diff: 37, cycles: 4398
 phase int32_t284698bc  , wave index 644 diff: 38, cycles: 4398
 phase int32_t2a9f57e0  , wave index 681 diff: 37, cycles: 4398
 phase int32_t2cf81704  , wave index 719 diff: 38, cycles: 4398
 phase int32_t2f50d628  , wave index 757 diff: 38, cycles: 4398
 phase int32_t31a9954c  , wave index 794 diff: 37, cycles: 4398
 phase int32_t34025470  , wave index 832 diff: 38, cycles: 4398
 phase int32_t365b1394  , wave index 869 diff: 37, cycles: 4398
 phase int32_t38b3d2b8  , wave index 907 diff: 38, cycles: 4398
 phase int32_t3b0c91dc  , wave index 944 diff: 37, cycles: 4398
 phase int32_t3d655100  , wave index 982 diff: 38, cycles: 4398
 phase int32_t3fbe1024  , wave index 1019 diff: 37, cycles: 4398
 phase int32_t4216cf48  , wave index 1057 diff: 38, cycles: 4398
 phase int32_t446f8e6c  , wave index 1094 diff: 37, cycles: 4398
 phase int32_t46c84d90  , wave index 1132 diff: 38, cycles: 4398
 phase int32_t49210cb4  , wave index 1170 diff: 38, cycles: 4398
 phase int32_t4b79cbd8  , wave index 1207 diff: 37, cycles: 4398
 phase int32_t4dd28afc  , wave index 1245 diff: 38, cycles: 4398
 phase int32_t502b4a20  , wave index 1282 diff: 37, cycles: 4398
 phase int32_t52840944  , wave index 1320 diff: 38, cycles: 4398
 phase int32_t54dcc868  , wave index 1357 diff: 37, cycles: 4398
 phase int32_t5735878c  , wave index 1395 diff: 38, cycles: 4398
 phase int32_t598e46b0  , wave index 1432 diff: 37, cycles: 4398
 phase int32_t5be705d4  , wave index 1470 diff: 38, cycles: 4398
 phase int32_t5e3fc4f8  , wave index 1507 diff: 37, cycles: 4398
 phase int32_t6098841c  , wave index 1545 diff: 38, cycles: 4398
 phase int32_t62f14340  , wave index 1583 diff: 38, cycles: 4398
 phase int32_t654a0264  , wave index 1620 diff: 37, cycles: 4398
 phase int32_t67a2c188  , wave index 1658 diff: 38, cycles: 4398
 phase int32_t69fb80ac  , wave index 1695 diff: 37, cycles: 4398
 phase int32_t6c543fd0  , wave index 1733 diff: 38, cycles: 4398
 phase int32_t6eacfef4  , wave index 1770 diff: 37, cycles: 4398
 phase int32_t7105be18  , wave index 1808 diff: 38, cycles: 4398
 phase int32_t735e7d3c  , wave index 1845 diff: 37, cycles: 4398
 phase int32_t75b73c60  , wave index 1883 diff: 38, cycles: 4398
