
426, 33	f6,ff	Gen_CoarseTune
427, 34	ce,ff	Gen_FineTune
428, 29	a0,0	Gen_Instrument
429, 2b	54,54	Gen_KeyRange
430,  b	20,1c	Gen_ModEnv2FilterFc
431,  f	23,0	Gen_ChorusSend
432, 10	23,0	Gen_ReverbSend
433, 30	32,0	Gen_Attenuation
434, 33	f4,ff	Gen_CoarseTune
435, 29	c1,0	Gen_Instrument
436, 2b	3d,3d	Gen_KeyRange
437,  f	46,0	Gen_ChorusSend
438, 10	23,0	Gen_ReverbSend
439, 30	4b,0	Gen_Attenuation
440, 33	ff,ff	Gen_CoarseTune
441, 34	ce,ff	Gen_FineTune
442, 29	9a,0	Gen_Instrument
443, 2b	42,42	Gen_KeyRange
444,  f	23,0	Gen_ChorusSend
445, 10	46,0	Gen_ReverbSend
446, 33	fd,ff	Gen_CoarseTune
447, 29	91,0	Gen_Instrument
448, 2b	0,c	Gen_KeyRange
449, 10	0,0	Gen_ReverbSend
450, 29	11,0	Gen_Instrument
451, 10	46,0	Gen_ReverbSend
452, 2b	58,58	Gen_KeyRange
453, 10	d2,0	Gen_ReverbSend
454, 30	32,0	Gen_Attenuation
455, 33	f2,ff	Gen_CoarseTune
456, 29	12,1	Gen_Instrument
457, 2b	29,35	Gen_KeyRange
458, 2c	0,6b	Gen_VelRange
459,  8	dc,f7	Gen_FilterFc
460, 29	f1,0	Gen_Instrument
461, 2b	29,35	Gen_KeyRange
462, 2c	6c,7f	Gen_VelRange
463, 22	db,e0	Gen_VolEnvAttack
464, 29	f1,0	Gen_Instrument
465, 2b	43,43	Gen_KeyRange
466, 2c	65,7f	Gen_VelRange
467, 22	db,e0	Gen_VolEnvAttack
468, 28	cb,ff	Gen_Key2VolEnvDecay
469, 33	a,0	Gen_CoarseTune
470, 29	b2,0	Gen_Instrument
471, 2b	43,43	Gen_KeyRange
472, 2c	42,64	Gen_VelRange
473,  8	ce,f9	Gen_FilterFc
474, 22	db,e0	Gen_VolEnvAttack
475, 28	cb,ff	Gen_Key2VolEnvDecay
476, 33	a,0	Gen_CoarseTune
477, 29	b2,0	Gen_Instrument
478, 2b	43,43	Gen_KeyRange
479, 2c	0,41	Gen_VelRange
480,  8	1e,f5	Gen_FilterFc
481, 22	db,e0	Gen_VolEnvAttack
